Paper Id,Publishable,Conference,Rationale,Summary
P001.pdf,0,NA,NA,NA
P002.pdf,0,NA,NA,NA
P003.pdf,1,EMNLP,General relevance to the topic,"Explainable Reinforcement Learning for Financial
Market Simulation: Unveiling the Mysteries of
Adaptive Trading Agents in a Simulated Economy
Abstract
Explainable reinforcement learning has emerged as a crucial tool for financial
market simulation, enabling stakeholders to understand complex decision-making
processes and make informed investment choices"
P004.pdf,1,NeurIPS,General relevance to the topic,"Graph Neural Networks Without Training: Harnessing the Power of
Labels as Input Features
Abstract
This study introduces a novel concept of training-free graph neural networks (TFGNNs) for transductive node
classification, which can function immediately without any training and can optionally be enhanced through
subsequent training"
P005.pdf,1,CVPR,"Contains key terms for CVPR: image, segmentation","Collaborative Clothing Segmentation and
Identification Through Image Analysis
Abstract
This research introduces a comprehensive clothing co-parsing system designed
to analyze a collection of clothing images, which are unsegmented but include
descriptive tags"
P006.pdf,0,NA,NA,NA
P007.pdf,1,EMNLP,General relevance to the topic,"Joint Syntacto-Discourse Parsing and the
Syntacto-Discourse Treebank
Abstract
Discourse parsing has long been treated as a stand-alone problem independent from
constituency or dependency parsing"
P008.pdf,1,NeurIPS,General relevance to the topic,"Optimized Transfer Learning with Equivariant
Pretrained Models
Abstract
This research investigates the mechanisms behind Chain-of-Thought (CoT) prompt-
ing, a method that enhances language models’ performance on complex reasoning
tasks by decomposing them into simpler steps"
P009.pdf,1,TMLR,General relevance to the topic,"Flexible Online Aggregations Using Basis Function Expansions
Abstract
Bayesian learning often necessitates online inference, adaptive models, and the combination of multiple distinct
models"
P010.pdf,1,KDD,General relevance to the topic,"Enhanced Reinforcement Learning for Recommender Systems:
Maximizing Sample Efficiency and Minimizing Variance
Abstract
Optimizing long-term user satisfaction in recommender systems, such as news feeds, is crucial during continuous
user-system interactions"
P011.pdf,1,CVPR,General relevance to the topic,"Controlling False Discovery Rates in Detecting Heterogeneous
Treatment Effects for Online Experiments
Abstract
Online controlled experiments, commonly referred to as A/B testing, are widely used in many Internet companies
for data-driven decision-making regarding feature modifications and product releases"
P012.pdf,1,KDD,General relevance to the topic,"Harmonizing Scaling Laws: Bridging the Gap
Between Kaplan and Chinchilla
Abstract
Studies by Kaplan et al"
P013.pdf,1,NeurIPS,General relevance to the topic,"Learning Explanations from Language Data
Abstract
PatternAttribution is a recent method, introduced in the vision domain, that explains
classifications of deep neural networks"
P014.pdf,1,CVPR,General relevance to the topic,"Advancements in Audio-Visual Active Speaker
Detection: A Novel Approach for the ActivityNet
Challenge
Abstract
This document outlines our contribution to the ActivityNet Challenge, focusing on
active speaker detection"
P015.pdf,1,CVPR,General relevance to the topic,"Overview of Challenges in Trajectory Forecasting and
3D Perception for Autonomous Driving
Abstract
This document provides a summary of the challenges faced in the domain of
Autonomous Driving"
P016.pdf,0,NA,NA,NA
P017.pdf,1,CVPR,General relevance to the topic,"Detecting and Summarizing Video Highlights with
Lag-Calibration
Abstract
The increasing popularity of video sharing has led to a growing need for automatic
video analysis, including highlight detection"
P018.pdf,1,CVPR,General relevance to the topic,"Enhancing Deep Reinforcement Learning with
Plasticity Mechanisms
Abstract
The objective of this research is to address the phenomenon of plasticity loss in
deep reinforcement learning (RL) agents, where neural networks lose their ability
to learn effectively over time"
P019.pdf,1,KDD,General relevance to the topic,"Acquiring the Ability to Recommend Interventions for Tuberculosis
Treatment Through the Utilization of Digital Adherence Information
Abstract
Digital Adherence Technologies (DATs) are becoming progressively favored as a means of confirming patients’
adherence to various medications"
P020.pdf,0,NA,NA,NA
P021.pdf,1,CVPR,General relevance to the topic,"A Vehicle Motion Prediction Approach for the 2021
Shifts Challenge
Abstract
This paper details the solution developed for the 2021 Shifts Challenge, which
focused on robustness and uncertainty in real-world distributional shifts"
P022.pdf,0,NA,NA,NA
P023.pdf,1,TMLR,Contains key terms for CVPR: image,"A Reverse Hierarchy Model for Predicting Eye
Fixations
Abstract
A number of psychological and physiological evidences suggest that early visual
attention works in a coarse-to- fine way, which lays a basis for the reverse hierarchy
theory (RHT)"
P024.pdf,1,NeurIPS,General relevance to the topic,"Turning the Tables: Exploring Subtle Vulnerabilities in
Machine Learning Model
Abstract
This paper investigates the feasibility and effectiveness of label-only backdoor
attacks in machine learning"
P025.pdf,1,EMNLP,Contains key terms for CVPR: image,"Scene Comprehension Through Image Analysis with
an Extensive Array of Categories and Context at the
Scene Level
Abstract
This research introduces a unique approach to scene parsing that is nonparametric,
which enhances the precision and expands the scope of foreground categories within
images of scenes"
P026.pdf,0,NA,NA,NA
P027.pdf,1,EMNLP,General relevance to the topic,"emoji2vec: Learning Emoji Representations from their
Description
Abstract
Many current natural language processing applications for social media rely on
representation learning and utilize pre-trained word embeddings"
P028.pdf,1,EMNLP,General relevance to the topic,"Do You See What I Mean? Visual Resolution of
Linguistic Ambiguities
Abstract
Understanding language goes hand in hand with the ability to integrate com-
plex contextual information obtained via perception"
P029.pdf,1,CVPR,General relevance to the topic,"OpenOmni: An Open-Source Multimodal Systems
Abstract
Multimodal conversational systems are increasingly sought after for their ability
to facilitate natural and human-like interactions"
P030.pdf,1,NeurIPS,General relevance to the topic,"BladeDISC++: Enhancing Memory Usage Through
Symbolic Shape Analysis
Abstract
The increasing prevalence of dynamic characteristics in modern deep learning tasks
has led to the growing importance of dynamic shape compilers"
P031.pdf,0,NA,NA,NA
P032.pdf,0,NA,NA,NA
P033.pdf,1,NeurIPS,General relevance to the topic,"AMR Parsing using Stack-LSTMs
Abstract
We present a transition-based AMR parser that directly generates AMR parses from
plain text"
P034.pdf,1,KDD,General relevance to the topic,"Enhanced Normalization in Vision Transformers: The Dual PatchNorm
Approach
Abstract
This study introduces Dual PatchNorm, a modification for Vision Transformers that incorporates two Layer
Normalization layers (LayerNorms) positioned before and after the patch embedding layer"
P035.pdf,0,NA,NA,NA
P036.pdf,0,NA,NA,NA
P037.pdf,1,CVPR,General relevance to the topic,"A Chinese Span-Extraction Dataset for Machine
Reading Comprehension
Abstract
This paper introduces a novel dataset for Chinese machine reading comprehension,
focusing on span extraction"
P038.pdf,0,NA,NA,NA
P039.pdf,0,NA,NA,NA
